[19Mar2025 00:01:25.173] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/229921, l='ServerLevel[world]', x=-90.50, y=76.00, z=872.50]
[19Mar2025 00:03:17.972] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/230568, l='ServerLevel[world]', x=-88.50, y=76.00, z=874.50]
[19Mar2025 00:03:31.567] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/230621, l='ServerLevel[world]', x=-108.50, y=77.00, z=863.50]
[19Mar2025 00:05:23.224] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/231331, l='ServerLevel[world]', x=-106.50, y=77.00, z=862.50]
[19Mar2025 00:05:30.969] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/231405, l='ServerLevel[world]', x=-135.50, y=74.00, z=853.50]
[19Mar2025 00:05:53.968] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/231533, l='ServerLevel[world]', x=-137.50, y=74.00, z=852.50]
[19Mar2025 00:06:01.768] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/231573, l='ServerLevel[world]', x=-122.50, y=74.00, z=844.50]
[19Mar2025 00:06:07.069] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/231607, l='ServerLevel[world]', x=-123.50, y=74.00, z=842.50]
[19Mar2025 00:06:40.171] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/231768, l='ServerLevel[world]', x=-108.50, y=77.00, z=864.50]
[19Mar2025 00:06:53.170] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/231810, l='ServerLevel[world]', x=-136.50, y=74.00, z=851.50]
[19Mar2025 00:07:09.124] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/231905, l='ServerLevel[world]', x=-88.50, y=76.00, z=873.50]
[19Mar2025 00:07:47.269] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/232216, l='ServerLevel[world]', x=-137.50, y=74.00, z=853.50]
[19Mar2025 00:08:03.071] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/232367, l='ServerLevel[world]', x=-153.50, y=73.00, z=851.50]
[19Mar2025 00:08:08.922] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/232416, l='ServerLevel[world]', x=-107.50, y=77.00, z=864.50]
[19Mar2025 00:08:29.623] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/232564, l='ServerLevel[world]', x=-155.50, y=73.00, z=852.50]
[19Mar2025 00:08:37.269] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/232610, l='ServerLevel[world]', x=-135.50, y=74.00, z=852.50]
[19Mar2025 00:08:51.173] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/232703, l='ServerLevel[world]', x=-108.50, y=77.00, z=862.50]
[19Mar2025 00:08:55.122] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/232737, l='ServerLevel[world]', x=-107.50, y=77.00, z=862.50]
[19Mar2025 00:09:09.968] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/232830, l='ServerLevel[world]', x=-125.50, y=72.00, z=856.50]
[19Mar2025 00:09:47.267] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/233084, l='ServerLevel[world]', x=-121.50, y=74.00, z=843.50]
[19Mar2025 00:10:33.421] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/233320, l='ServerLevel[world]', x=-122.50, y=74.00, z=842.50]
[19Mar2025 00:12:05.070] [Server thread/WARN] [net.minecraft.world.level.entity.PersistentEntitySectionManager/]: UUID of added entity already exists: FallingBlockEntity['Falling Hanging Coconut'/234196, l='ServerLevel[world]', x=-89.50, y=76.00, z=872.50]
